Timestamp,CPU_Usage,RAM_Usage,GPU_Usage
2024-08-07 14:52:31.096159,0.8,66.6,1.0
2024-08-07 14:52:32.189934,0.4,66.6,0.0
2024-08-07 14:52:33.300006,1.3,66.6,1.0
2024-08-07 14:52:34.402372,1.7,66.6,0.0
2024-08-07 14:52:35.498910,1.4,66.6,1.0
2024-08-07 14:52:36.598937,1.6,66.7,0.0
2024-08-07 14:52:37.707820,1.2,66.6,0.0
2024-08-07 14:52:38.799255,1.5,66.6,2.0
2024-08-07 14:52:39.893650,1.6,66.6,1.0
2024-08-07 14:52:41.003636,1.7,66.6,1.0
2024-08-07 14:52:42.110427,1.6,66.5,1.0
2024-08-07 14:52:43.217751,1.0,66.6,0.0
2024-08-07 14:52:44.330013,0.4,66.6,1.0
2024-08-07 14:52:45.435974,2.1,66.6,0.0
2024-08-07 14:52:46.536933,1.4,66.8,1.0
2024-08-07 14:52:47.633936,2.0,66.6,3.0
2024-08-07 14:52:48.738978,2.1,66.7,1.0
2024-08-07 14:52:49.834718,2.2,66.7,1.0
2024-08-07 14:52:50.938773,4.1,66.7,1.0
2024-08-07 14:52:52.041388,1.3,66.8,2.0
2024-08-07 14:52:53.149010,3.0,66.7,4.0
2024-08-07 14:52:54.251484,3.9,66.8,2.0
2024-08-07 14:52:55.357340,0.6,66.8,0.0
2024-08-07 14:52:56.480958,2.6,66.6,3.0
2024-08-07 14:52:57.590488,0.8,66.7,0.0
2024-08-07 14:52:58.691114,0.1,66.7,0.0
2024-08-07 14:52:59.790451,0.9,66.6,0.0
2024-08-07 14:53:00.897876,1.9,66.6,0.0
2024-08-07 14:53:02.004554,0.8,66.5,0.0
2024-08-07 14:53:03.110878,0.4,66.6,0.0
2024-08-07 14:53:04.215002,0.7,66.6,0.0
2024-08-07 14:53:05.310194,0.8,66.5,0.0
2024-08-07 14:53:06.411246,1.2,66.5,0.0
2024-08-07 14:53:07.520799,0.9,66.6,0.0
2024-08-07 14:53:08.626325,1.2,66.7,0.0
2024-08-07 14:53:09.717585,0.9,66.8,0.0
2024-08-07 14:53:10.821274,0.5,66.7,0.0
2024-08-07 14:53:11.930206,1.4,66.2,0.0
2024-08-07 14:53:13.035347,0.5,66.1,0.0
2024-08-07 14:53:14.139276,0.9,66.1,0.0
2024-08-07 14:53:15.237902,0.9,66.1,0.0
2024-08-07 14:53:16.330921,0.9,66.2,0.0
2024-08-07 14:53:17.425096,0.9,66.2,0.0
2024-08-07 14:53:18.523600,1.7,66.1,0.0
2024-08-07 14:53:19.623049,0.8,66.1,0.0
2024-08-07 14:53:20.724659,0.8,66.2,0.0
2024-08-07 14:53:21.828337,0.3,66.2,0.0
2024-08-07 14:53:22.924781,0.7,66.2,0.0
2024-08-07 14:53:24.026191,0.4,66.1,0.0
2024-08-07 14:53:25.130806,2.1,66.2,4.0
2024-08-07 14:53:26.249909,3.1,66.6,2.0
2024-08-07 14:53:27.350970,3.6,66.7,5.0
2024-08-07 14:53:28.468806,6.5,66.7,5.0
2024-08-07 14:53:29.583290,3.7,66.8,3.0
2024-08-07 14:53:30.681558,4.0,67.2,3.0
2024-08-07 14:53:31.801719,2.6,67.2,2.0
2024-08-07 14:53:32.926218,15.6,69.9,7.000000000000001
2024-08-07 14:53:34.030428,30.6,69.0,2.0
2024-08-07 14:53:35.134502,1.2,69.1,0.0
2024-08-07 14:53:36.245081,1.6,69.0,1.0
2024-08-07 14:53:37.342633,0.4,68.9,0.0
2024-08-07 14:53:38.440908,2.4,68.9,0.0
2024-08-07 14:53:39.564269,5.3,69.0,2.0
2024-08-07 14:53:40.670139,9.0,69.0,6.0
2024-08-07 14:53:41.778008,2.5,69.0,5.0
2024-08-07 14:53:42.888036,4.3,69.1,6.0
2024-08-07 14:53:44.003615,3.7,69.2,2.0
2024-08-07 14:53:45.096334,1.1,69.3,0.0
2024-08-07 14:53:46.198285,3.1,69.5,3.0
2024-08-07 14:53:47.300577,2.2,69.3,0.0
2024-08-07 14:53:48.414478,3.2,69.3,5.0
2024-08-07 14:53:49.519789,2.2,69.4,0.0
2024-08-07 14:53:50.617182,0.8,69.4,0.0
2024-08-07 14:53:51.716507,4.8,69.5,2.0
2024-08-07 14:53:52.817948,4.3,69.7,7.000000000000001
2024-08-07 14:53:53.916489,1.4,69.8,0.0
2024-08-07 14:53:55.018548,1.3,69.7,0.0
2024-08-07 14:53:56.122195,2.8,69.8,2.0
2024-08-07 14:53:57.229171,5.6,70.0,0.0
2024-08-07 14:53:58.321450,2.8,70.1,0.0
2024-08-07 14:53:59.429311,3.9,70.2,0.0
2024-08-07 14:54:00.535036,4.2,70.2,3.0
2024-08-07 14:54:01.658112,3.4,70.2,1.0
2024-08-07 14:54:02.758464,3.5,70.4,1.0
2024-08-07 14:54:03.855544,0.5,70.4,0.0
2024-08-07 14:54:04.974330,0.9,70.3,0.0
2024-08-07 14:54:06.081357,2.4,70.3,0.0
2024-08-07 14:54:07.175734,2.2,70.4,0.0
2024-08-07 14:54:08.275522,0.5,70.5,0.0
2024-08-07 14:54:09.371915,0.5,70.5,0.0
2024-08-07 14:54:10.469488,1.7,70.1,0.0
2024-08-07 14:54:11.566887,0.7,70.2,1.0
2024-08-07 14:54:12.667780,1.7,70.2,0.0
